,,01,02,03,05,06&07,08,09,10.1,10.2-3,10.4,10.5,10.6,10.7,10.8,10.9,11.01-6 and 12,11.07,13,14,15,16,17,18,19,20A,20B,20C,20.3,20.4,20.5,21,22,23OTHER,23.5-6,24.1-3,24.4-5,25OTHER,25.4,26,27,28,29,30.1,30.3,30OTHER,31,32,33.15,33.16,33OTHER,35.1,35.2-3,36,37,38,39,41-43,45,46,47,49.1-2,49.3-5,50,51,52,53,55,56,58,59-60,61,62,63,64,65,66,68.1-2,68.2IMP,68.3,69.1,69.2,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87-88,90,91,92,93,94,95,96,97,38g,49.3-5g,52g,59-60g,84g,85g,86g,87-88g,90g,91g,93g,64n,68.1-2n,69.1n,72n,75n,81n,85n,86n,87-88n,90n,91n,93n,94n,,,,,,,,,,,,,
15,Leather and related products            ,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,104,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,2,69,1,73,0,112,2,0,2,1,0,0,0,3,0,0,42,528,125,162,7,17,0,5,6,16,43,131,0,30,20,18,2,14,8,8,4,0,0,1,1,9,8,29,10,10,1,5,26,1,2,18,22,2,39,3,99,5,5,14,6,3,0,38,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,1,1,3,34,3,20,1,0,1,12,"2,182","5,502",0,0,0,0,0,-38,0,0,0,0,"7,646"
16,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",6,2,0,3,2,2,0,5,0,0,6,1,2,3,2,13,3,9,0,0,"1,121",26,1,1,1,7,0,3,1,1,1,17,0,14,2,5,68,1,7,6,9,51,29,4,0,162,25,2,0,4,2,0,0,0,1,0,"1,436",11,79,64,1,7,1,0,6,1,8,30,2,4,4,12,0,7,1,2,6,7,1,3,2,12,11,8,7,5,0,12,7,0,2,54,12,0,7,1,6,2,1,4,1,0,0,3,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,7,6,0,1,1,1,0,2,"3,524",230,0,0,0,0,0,9,0,0,0,0,"3,763"
17,Paper and paper products            ,32,0,0,0,1,4,0,34,40,10,19,49,40,79,11,75,8,57,12,7,51,"2,804",307,2,2,9,2,5,52,18,36,203,18,35,3,3,19,1,12,11,72,12,0,19,2,11,74,0,1,16,4,1,1,2,1,0,63,11,579,103,0,17,0,2,53,5,5,45,76,4,3,80,0,279,15,15,22,2,8,6,3,43,14,24,60,10,1,12,15,0,1,11,41,1,11,0,10,4,2,2,0,0,3,40,0,2,0,4,0,57,7,47,5,0,1,2,0,0,0,0,1,1,8,0,3,2,0,0,2,"6,130",667,0,0,0,0,0,-107,0,0,0,0,"6,690"
18,Printing and recording services            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,19
19,Coke and refined petroleum products           ,557,10,67,26,52,35,23,33,15,7,32,9,46,29,19,16,9,3,18,2,29,27,14,"1,545",41,108,17,6,13,51,12,146,32,53,291,19,58,3,22,19,78,37,6,27,9,31,16,2,5,23,132,69,21,32,2,2,363,154,"1,170",657,84,"1,704",89,"1,324",45,92,109,311,5,25,115,120,13,191,44,115,42,2,2,21,21,34,79,114,32,32,1,91,73,26,5,13,94,2,24,2,73,8,12,22,8,1,7,24,0,8,0,11,2,215,57,42,14,0,2,6,0,0,0,5,2,1,19,1,24,3,1,1,29,"12,045","6,035",0,0,0,0,0,-20,363,437,0,0,"18,860"
20A,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15      ",144,1,1,0,5,4,6,1,1,0,0,1,2,4,0,5,1,4,0,1,1,18,0,81,209,"1,117",35,54,24,70,63,76,22,13,11,12,50,1,12,5,10,4,0,2,0,0,3,0,1,5,10,3,21,1,1,0,43,1,107,4,0,10,1,1,3,0,0,36,0,10,1,9,1,2,2,0,3,0,0,1,2,1,3,18,2,3,0,4,3,0,2,5,8,0,3,1,2,2,1,1,2,0,0,1,0,0,0,0,0,5,0,62,0,0,0,0,0,0,0,1,0,0,3,1,1,1,1,0,0,"2,490",0,0,0,0,0,0,28,0,0,0,0,"2,518"
20B,Petrochemicals - 20.14/16/17/60             ,13,1,0,2,0,10,0,0,2,2,0,19,10,18,0,9,7,292,2,24,46,253,11,221,415,"2,510",81,320,140,438,172,"2,287",253,103,69,54,75,8,40,299,88,576,38,39,1,70,72,4,5,36,6,1,13,15,4,1,168,43,388,23,0,42,0,2,10,1,26,150,3,2,2,46,2,0,0,0,12,0,0,5,8,1,18,126,5,10,0,8,18,1,3,8,32,0,12,2,0,0,0,3,0,0,1,4,0,3,0,0,0,12,4,0,0,0,0,0,0,0,0,2,0,1,9,1,0,0,0,0,0,"10,394",0,0,0,0,0,0,141,0,0,0,0,"10,535"
20C,"Dyestuffs, agro-chemicals - 20.12/20            ",264,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,31,0,3,0,13,1,6,36,54,203,87,8,24,9,40,4,14,19,20,11,1,5,3,9,4,0,6,0,0,3,0,0,3,0,1,3,3,2,0,25,1,81,22,0,4,0,0,5,0,0,7,0,2,2,8,0,1,4,0,5,0,0,0,0,0,2,14,1,1,1,5,7,0,1,4,5,0,8,20,5,1,0,3,1,0,1,6,0,0,0,0,1,14,1,0,0,0,0,0,0,0,0,0,1,1,6,15,1,1,0,0,0,"1,197",0,0,0,0,0,0,-7,0,0,0,0,"1,190"
20.3,"Paints, varnishes and similar coatings, printing ink and mastics       ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,42,69,0,0,0,0,205,5,8,0,25,19,13,2,2,56,2,10,6,20,61,7,4,16,4,9,2,1,11,0,0,0,1,0,0,136,8,97,12,2,3,0,0,1,0,1,9,25,3,1,24,0,10,1,1,4,1,0,0,1,2,2,12,19,1,0,2,4,0,0,0,6,0,3,0,9,1,0,1,1,0,0,7,0,1,0,0,0,10,8,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,1,0,4,"1,052",0,0,0,0,0,0,-9,0,0,0,0,"1,043"
20.4,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations     ",3,0,0,0,0,0,0,1,0,0,1,0,3,2,0,1,0,0,0,0,0,0,0,0,2,3,2,0,79,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,13,6,45,17,1,3,1,1,3,1,4,12,0,2,1,3,0,9,0,1,2,0,0,0,0,2,1,6,2,0,0,0,4,0,2,23,15,0,6,0,16,0,0,1,1,0,0,25,0,4,0,0,0,9,13,4,5,0,0,2,0,0,0,0,1,3,5,0,5,0,0,0,1,392,"4,417",0,0,0,0,0,67,0,0,0,0,"4,876"
