iter,	useweight,	phase2,	temp
 80,5.0,0.3,0.23
year,headings,P0,P1,P2,P3,P4
4,P0,1.5782804763150207,0.0,2.1137153124811823,1.5785622508255945,0.0
4,P1,0.0,2.236863634954458,0.0,0.0,0.0
4,P2,5.523981667102572,5.219348481560402,0.0,4.735686752476783,0.0
4,P3,0.0,0.0,4.932002395789425,1.5785622508255945,0.0
4,P4,2.367420714472531,4.473727269908916,4.2274306249623645,1.5785622508255945,5.523921857576279

5,flow matrix
5,P0,0.0,0.0,2.0947449650697676,0.0,0.0
5,P1,0.0,2.2357149427392446,0.0,0.7343734647442711,0.0
5,P2,2.2025903595942053,2.2357149427392446,0.0,0.0,0.0
5,P3,0.0,0.0,2.0947449650697676,0.0,0.0
5,P4,2.2025903595942053,0.0,0.0,0.0,2.2025632956175376
